ICAO,PHASE,STND,RWY,N,VALID,REF_20,ID,OBSERVED
EDDM,ARR,222,08R,287,287,4,ARR-222-08R,2019
EDDM,ARR,222,26L,436,436,5,ARR-222-26L,2019
EDDM,ARR,222,26R,806,806,4,ARR-222-26R,2019
EDDM,ARR,223,08L,201,201,4,ARR-223-08L,2019
EDDM,ARR,223,08R,601,601,3,ARR-223-08R,2019
EDDM,ARR,223,26L,889,889,4,ARR-223-26L,2019
EDDM,ARR,223,26R,494,494,4,ARR-223-26R,2019
EDDM,ARR,224,08L,345,345,5,ARR-224-08L,2019
EDDM,ARR,224,08R,395,395,3,ARR-224-08R,2019
EDDM,ARR,224,26L,528,528,5,ARR-224-26L,2019
EDDM,ARR,224,26R,741,741,4,ARR-224-26R,2019
EDDM,ARR,231,08L,223,223,5,ARR-231-08L,2019
EDDM,ARR,231,08R,251,251,4,ARR-231-08R,2019
EDDM,ARR,231,26L,383,383,5,ARR-231-26L,2019
EDDM,ARR,231,26R,377,377,5,ARR-231-26R,2019
EDDM,ARR,232,08L,249,249,5,ARR-232-08L,2019
EDDM,ARR,232,08R,243,243,4,ARR-232-08R,2019
EDDM,ARR,232,26L,384,384,5,ARR-232-26L,2019
EDDM,ARR,232,26R,458,458,5,ARR-232-26R,2019
EDDM,ARR,233,08L,352,352,5,ARR-233-08L,2019
EDDM,ARR,233,08R,249,249,4,ARR-233-08R,2019
EDDM,ARR,233,26L,391,391,5,ARR-233-26L,2019
EDDM,ARR,233,26R,582,582,5,ARR-233-26R,2019
EDDM,ARR,234,08L,291,291,4,ARR-234-08L,2019
EDDM,ARR,234,08R,309,309,4,ARR-234-08R,2019
EDDM,ARR,234,26L,452,452,5,ARR-234-26L,2019
EDDM,ARR,234,26R,508,508,4,ARR-234-26R,2019
EDDM,ARR,244,08L,568,568,3,ARR-244-08L,2019
EDDM,ARR,244,08R,358,358,4,ARR-244-08R,2019
EDDM,ARR,244,26L,504,504,6,ARR-244-26L,2019
EDDM,ARR,244,26R,1030,1030,3,ARR-244-26R,2019
EDDM,ARR,245,08L,546,546,3,ARR-245-08L,2019
EDDM,ARR,245,08R,398,398,4,ARR-245-08R,2019
EDDM,ARR,245,26L,490,490,6,ARR-245-26L,2019
EDDM,ARR,245,26R,1001,1001,3,ARR-245-26R,2019
EDDM,ARR,246,08L,509,509,3,ARR-246-08L,2019
EDDM,ARR,246,08R,396,396,4,ARR-246-08R,2019
EDDM,ARR,246,26L,574,574,6,ARR-246-26L,2019
EDDM,ARR,246,26R,921,921,3,ARR-246-26R,2019
EDDM,ARR,247,08L,486,486,3,ARR-247-08L,2019
EDDM,ARR,247,08R,416,416,4,ARR-247-08R,2019
EDDM,ARR,247,26L,553,553,6,ARR-247-26L,2019
EDDM,ARR,247,26R,939,939,3,ARR-247-26R,2019
EDDM,ARR,248,08L,479,479,3,ARR-248-08L,2019
EDDM,ARR,248,08R,422,422,4,ARR-248-08R,2019
